Name,URL,done
00.00_Review_of_Statistical_Inference,https://collab.its.virginia.edu/portal/site/294dab0f-ccd3-431d-940c-ff9e44bd497c/tool-reset/79431c75-5c2f-4124-8b4a-32cc855a24df,1
00.01_Introduction_to_the_lesson,https://collab.its.virginia.edu/portal/site/294dab0f-ccd3-431d-940c-ff9e44bd497c/tool/79431c75-5c2f-4124-8b4a-32cc855a24df/ShowPage?sendingPage=215794&itemId=1602755&path=clear_and_push&title=0.1: Introduction to the lesson&newTopLevel=false,1
00.02_Sampling_Distributions,https://collab.its.virginia.edu/portal/site/294dab0f-ccd3-431d-940c-ff9e44bd497c/tool/79431c75-5c2f-4124-8b4a-32cc855a24df/ShowPage?sendingPage=215795&itemId=1602757&path=clear_and_push&title=0.2: Sampling Distributions&newTopLevel=false,1
00.03_Confidence_Intervals,https://collab.its.virginia.edu/portal/site/294dab0f-ccd3-431d-940c-ff9e44bd497c/tool/79431c75-5c2f-4124-8b4a-32cc855a24df/ShowPage?sendingPage=215799&itemId=1602784&path=clear_and_push&title=0.3: Confidence Intervals&newTopLevel=false,1
00.04_Hypothesis_Testing,https://collab.its.virginia.edu/portal/site/294dab0f-ccd3-431d-940c-ff9e44bd497c/tool/79431c75-5c2f-4124-8b4a-32cc855a24df/ShowPage?sendingPage=215800&itemId=1602785&path=clear_and_push&title=0.4: Hypothesis Testing&newTopLevel=false,1
00.05_Practice_Questions,https://collab.its.virginia.edu/portal/site/294dab0f-ccd3-431d-940c-ff9e44bd497c/tool/79431c75-5c2f-4124-8b4a-32cc855a24df/ShowPage?sendingPage=215802&itemId=1602787&path=clear_and_push&title=0.5: Practice Questions (Ungraded)&newTopLevel=false,1
01.00_Introduction_to_Simple_Linear_Regression_713_714,https://collab.its.virginia.edu/portal/site/294dab0f-ccd3-431d-940c-ff9e44bd497c/tool-reset/c38d0593-f90b-4a9c-8633-ea15e3bfd1f5,1
01.01_Introduction_to_the_Lesson,https://collab.its.virginia.edu/portal/site/294dab0f-ccd3-431d-940c-ff9e44bd497c/tool/c38d0593-f90b-4a9c-8633-ea15e3bfd1f5/ShowPage?sendingPage=213908&itemId=1591889&path=clear_and_push&title=1.1: Introduction to the Lesson&newTopLevel=false,1
01.02_Simple_Linear_Regression,https://collab.its.virginia.edu/portal/site/294dab0f-ccd3-431d-940c-ff9e44bd497c/tool/c38d0593-f90b-4a9c-8633-ea15e3bfd1f5/ShowPage?sendingPage=213909&itemId=1591890&path=clear_and_push&title=1.2: Simple Linear Regression &newTopLevel=false,1
01.03_Estimating_Regression_Coefficients,https://collab.its.virginia.edu/portal/site/294dab0f-ccd3-431d-940c-ff9e44bd497c/tool/c38d0593-f90b-4a9c-8633-ea15e3bfd1f5/ShowPage?sendingPage=213910&itemId=1591891&path=clear_and_push&title=1.3: Estimating Regression Coefficients&newTopLevel=false,1
01.04_Estimating_the_Variance_of_a_Regression_Model,https://collab.its.virginia.edu/portal/site/294dab0f-ccd3-431d-940c-ff9e44bd497c/tool/c38d0593-f90b-4a9c-8633-ea15e3bfd1f5/ShowPage?sendingPage=213911&itemId=1591892&path=clear_and_push&title=1.4: Estimating the Variance of a Regression Model&newTopLevel=false,0
01.05_ANOVA_F_Test,https://collab.its.virginia.edu/portal/site/294dab0f-ccd3-431d-940c-ff9e44bd497c/tool/c38d0593-f90b-4a9c-8633-ea15e3bfd1f5/ShowPage?sendingPage=213912&itemId=1591893&path=clear_and_push&title=1.5: ANOVA F Test&newTopLevel=false,0
01.06_Pitfalls_of_Correlation,https://collab.its.virginia.edu/portal/site/294dab0f-ccd3-431d-940c-ff9e44bd497c/tool/c38d0593-f90b-4a9c-8633-ea15e3bfd1f5/ShowPage?sendingPage=216131&itemId=1604829&path=clear_and_push&title=1.6: Pitfalls of Correlation&newTopLevel=false,0
01.07_R_Tutorial_for_Module_1,https://collab.its.virginia.edu/portal/site/294dab0f-ccd3-431d-940c-ff9e44bd497c/tool/c38d0593-f90b-4a9c-8633-ea15e3bfd1f5/ShowPage?sendingPage=213913&itemId=1591894&path=clear_and_push&title=1.7: R Tutorial for Module 1&newTopLevel=false,0
01.08_Module_1_Live_Session,https://collab.its.virginia.edu/portal/site/294dab0f-ccd3-431d-940c-ff9e44bd497c/tool/c38d0593-f90b-4a9c-8633-ea15e3bfd1f5/ShowPage?sendingPage=213903&itemId=1591895&path=clear_and_push&title=1.8: Module 1 Live Session&newTopLevel=false,0
02.00_Inference_with_Simple_Linear_Regression_715_716,https://collab.its.virginia.edu/portal/site/294dab0f-ccd3-431d-940c-ff9e44bd497c/tool-reset/1ae5d634-ca62-4e94-aeed-cace1fedf87e,0
02.01_Introduction_to_the_Lesson,https://collab.its.virginia.edu/portal/site/294dab0f-ccd3-431d-940c-ff9e44bd497c/tool/1ae5d634-ca62-4e94-aeed-cace1fedf87e/ShowPage?sendingPage=213914&itemId=1591902&path=clear_and_push&title=2.1: Introduction to the Lesson&newTopLevel=false,0
02.02_Hypothesis_Testing_in_Simple_Linear_Regression,https://collab.its.virginia.edu/portal/site/294dab0f-ccd3-431d-940c-ff9e44bd497c/tool/1ae5d634-ca62-4e94-aeed-cace1fedf87e/ShowPage?sendingPage=213915&itemId=1591903&path=clear_and_push&title=2.2: Hypothesis Testing in Simple Linear Regression (SLR)&newTopLevel=false,0
02.03_Confidence_Interval_of_the_Slope,https://collab.its.virginia.edu/portal/site/294dab0f-ccd3-431d-940c-ff9e44bd497c/tool/1ae5d634-ca62-4e94-aeed-cace1fedf87e/ShowPage?sendingPage=213916&itemId=1591904&path=clear_and_push&title=2.3: Confidence Interval of the Slope&newTopLevel=false,0
02.04_Confidence_Interval_of_the_Mean_Response,https://collab.its.virginia.edu/portal/site/294dab0f-ccd3-431d-940c-ff9e44bd497c/tool/1ae5d634-ca62-4e94-aeed-cace1fedf87e/ShowPage?sendingPage=213977&itemId=1591905&path=clear_and_push&title=2.4: Confidence Interval of the Mean Response&newTopLevel=false,0
02.05_Prediction_Interval_of_a_New_Response,https://collab.its.virginia.edu/portal/site/294dab0f-ccd3-431d-940c-ff9e44bd497c/tool/1ae5d634-ca62-4e94-aeed-cace1fedf87e/ShowPage?sendingPage=213917&itemId=1591906&path=clear_and_push&title=2.5: Prediction Interval of a New Response&newTopLevel=false,0
02.06_Recap_of_Module_2,https://collab.its.virginia.edu/portal/site/294dab0f-ccd3-431d-940c-ff9e44bd497c/tool/1ae5d634-ca62-4e94-aeed-cace1fedf87e/ShowPage?sendingPage=216132&itemId=1604831&path=clear_and_push&title=2.6: Recap of Module 2&newTopLevel=false,0
02.07_R_Tutorial_for_Module_2,https://collab.its.virginia.edu/portal/site/294dab0f-ccd3-431d-940c-ff9e44bd497c/tool/1ae5d634-ca62-4e94-aeed-cace1fedf87e/ShowPage?sendingPage=213978&itemId=1591907&path=clear_and_push&title=2.7: R Tutorial for Module 2&newTopLevel=false,0
02.08_Module_2_Live_Session,https://collab.its.virginia.edu/portal/site/294dab0f-ccd3-431d-940c-ff9e44bd497c/tool/1ae5d634-ca62-4e94-aeed-cace1fedf87e/ShowPage?sendingPage=213979&itemId=1591908&path=clear_and_push&title=2.8: Module 2 Live Session&newTopLevel=false,0
03.00_Model_Diagnostics_and_Remedial_Measures_in_Simple_Linear_Regression_717_718,https://collab.its.virginia.edu/portal/site/294dab0f-ccd3-431d-940c-ff9e44bd497c/tool-reset/dcad73c0-7d27-4c12-868a-74038e6db73d,0
03.01_Introduction_to_the_Lesson,https://collab.its.virginia.edu/portal/site/294dab0f-ccd3-431d-940c-ff9e44bd497c/tool/dcad73c0-7d27-4c12-868a-74038e6db73d/ShowPage?sendingPage=213919&itemId=1592015&path=clear_and_push&title=3.1: Introduction to the Lesson&newTopLevel=false,0
03.02_Assumptions_in_Regression_Models,https://collab.its.virginia.edu/portal/site/294dab0f-ccd3-431d-940c-ff9e44bd497c/tool/dcad73c0-7d27-4c12-868a-74038e6db73d/ShowPage?sendingPage=213920&itemId=1592016&path=clear_and_push&title=3.2: Assumptions in Regression Models&newTopLevel=false,0
03.03_Remedial_Measures,https://collab.its.virginia.edu/portal/site/294dab0f-ccd3-431d-940c-ff9e44bd497c/tool/dcad73c0-7d27-4c12-868a-74038e6db73d/ShowPage?sendingPage=213921&itemId=1592017&path=clear_and_push&title=3.3: Remedial Measures: Variance Stabilizing Transformation&newTopLevel=false,0
03.04_Remedial_Measures,https://collab.its.virginia.edu/portal/site/294dab0f-ccd3-431d-940c-ff9e44bd497c/tool/dcad73c0-7d27-4c12-868a-74038e6db73d/ShowPage?sendingPage=213922&itemId=1592018&path=clear_and_push&title=3.4: Remedial Measures: Linearization Transformation&newTopLevel=false,0
03.05_Recap_of_Module_3,https://collab.its.virginia.edu/portal/site/294dab0f-ccd3-431d-940c-ff9e44bd497c/tool/dcad73c0-7d27-4c12-868a-74038e6db73d/ShowPage?sendingPage=216133&itemId=1604833&path=clear_and_push&title=3.5: Recap of Module 3&newTopLevel=false,0
03.06_R_Tutorial_for_Module_3,https://collab.its.virginia.edu/portal/site/294dab0f-ccd3-431d-940c-ff9e44bd497c/tool/dcad73c0-7d27-4c12-868a-74038e6db73d/ShowPage?sendingPage=213923&itemId=1592019&path=clear_and_push&title=3.6: R Tutorial for Module 3&newTopLevel=false,0
03.07_Module_3_Live_Session,https://collab.its.virginia.edu/portal/site/294dab0f-ccd3-431d-940c-ff9e44bd497c/tool/dcad73c0-7d27-4c12-868a-74038e6db73d/ShowPage?sendingPage=213924&itemId=1592020&path=clear_and_push&title=3.7: Module 3 Live Session&newTopLevel=false,0
04.00_Introduction_to_Multiple_Linear_Regression_720_721,https://collab.its.virginia.edu/portal/site/294dab0f-ccd3-431d-940c-ff9e44bd497c/tool-reset/492a6240-b088-499b-8be8-5d198a08a3a5,0
04.01_Introduction_to_the_Lesson,https://collab.its.virginia.edu/portal/site/294dab0f-ccd3-431d-940c-ff9e44bd497c/tool/492a6240-b088-499b-8be8-5d198a08a3a5/ShowPage?sendingPage=213925&itemId=1591915&path=clear_and_push&title=4.1: Introduction to the Lesson&newTopLevel=false,0
04.02_Multiple_Linear_Regression,https://collab.its.virginia.edu/portal/site/294dab0f-ccd3-431d-940c-ff9e44bd497c/tool/492a6240-b088-499b-8be8-5d198a08a3a5/ShowPage?sendingPage=213926&itemId=1591916&path=clear_and_push&title=4.2: Multiple Linear Regression&newTopLevel=false,0
04.03_Estimating_Regression_Coefficients_in_Multiple_Linear_Regression,https://collab.its.virginia.edu/portal/site/294dab0f-ccd3-431d-940c-ff9e44bd497c/tool/492a6240-b088-499b-8be8-5d198a08a3a5/ShowPage?sendingPage=213982&itemId=1591917&path=clear_and_push&title=4.3: Estimating Regression Coefficients in Multiple Linear Regression&newTopLevel=false,0
04.04_ANOVA_F_Test_in_Multiple_Linear_Regression,https://collab.its.virginia.edu/portal/site/294dab0f-ccd3-431d-940c-ff9e44bd497c/tool/492a6240-b088-499b-8be8-5d198a08a3a5/ShowPage?sendingPage=213927&itemId=1591918&path=clear_and_push&title=4.4: ANOVA F Test in Multiple Linear Regression&newTopLevel=false,0
04.05_t_Test_in_Multiple_Linear_Regression,https://collab.its.virginia.edu/portal/site/294dab0f-ccd3-431d-940c-ff9e44bd497c/tool/492a6240-b088-499b-8be8-5d198a08a3a5/ShowPage?sendingPage=213928&itemId=1591919&path=clear_and_push&title=4.5: t Test in Multiple Linear Regression&newTopLevel=false,0
04.06_Confidence_Intervals_in_Multiple_Linear_Regression,https://collab.its.virginia.edu/portal/site/294dab0f-ccd3-431d-940c-ff9e44bd497c/tool/492a6240-b088-499b-8be8-5d198a08a3a5/ShowPage?sendingPage=213929&itemId=1591920&path=clear_and_push&title=4.6: Confidence Intervals in Multiple Linear Regression&newTopLevel=false,0
04.07_Recap_of_Module_4,https://collab.its.virginia.edu/portal/site/294dab0f-ccd3-431d-940c-ff9e44bd497c/tool/492a6240-b088-499b-8be8-5d198a08a3a5/ShowPage?sendingPage=216134&itemId=1604836&path=clear_and_push&title=4.7: Recap of Module 4&newTopLevel=false,0
04.08_R_Tutorial_for_Module_4,https://collab.its.virginia.edu/portal/site/294dab0f-ccd3-431d-940c-ff9e44bd497c/tool/492a6240-b088-499b-8be8-5d198a08a3a5/ShowPage?sendingPage=213930&itemId=1591921&path=clear_and_push&title=4.8: R Tutorial for Module 4&newTopLevel=false,0
04.09_Module_4_Live_Session,https://collab.its.virginia.edu/portal/site/294dab0f-ccd3-431d-940c-ff9e44bd497c/tool/492a6240-b088-499b-8be8-5d198a08a3a5/ShowPage?sendingPage=213983&itemId=1591922&path=clear_and_push&title=4.9: Module 4 Live Session&newTopLevel=false,0
05.00_Sums_of_Squares_and_Multicollinearity_722_723,https://collab.its.virginia.edu/portal/site/294dab0f-ccd3-431d-940c-ff9e44bd497c/tool-reset/35442e9e-65ae-485f-972f-16d737551d2c,0
05.01_Introduction_to_the_Lesson,https://collab.its.virginia.edu/portal/site/294dab0f-ccd3-431d-940c-ff9e44bd497c/tool/35442e9e-65ae-485f-972f-16d737551d2c/ShowPage?sendingPage=213931&itemId=1592260&path=clear_and_push&title=5.1: Introduction to the Lesson&newTopLevel=false,0
05.02_Extra_Sums_of_Squares_and_the_Partial_F_Test,https://collab.its.virginia.edu/portal/site/294dab0f-ccd3-431d-940c-ff9e44bd497c/tool/35442e9e-65ae-485f-972f-16d737551d2c/ShowPage?sendingPage=213932&itemId=1592261&path=clear_and_push&title=5.2: Extra Sums of Squares and the Partial F Test&newTopLevel=false,0
05.03_Standardized_Regression_Model,https://collab.its.virginia.edu/portal/site/294dab0f-ccd3-431d-940c-ff9e44bd497c/tool/35442e9e-65ae-485f-972f-16d737551d2c/ShowPage?sendingPage=213933&itemId=1592262&path=clear_and_push&title=5.3: Standardized Regression Model&newTopLevel=false,0
05.04_Multicollinearity,https://collab.its.virginia.edu/portal/site/294dab0f-ccd3-431d-940c-ff9e44bd497c/tool/35442e9e-65ae-485f-972f-16d737551d2c/ShowPage?sendingPage=213934&itemId=1592263&path=clear_and_push&title=5.4: Multicollinearity&newTopLevel=false,0
05.05_Diagnosing_Multicollinearity,https://collab.its.virginia.edu/portal/site/294dab0f-ccd3-431d-940c-ff9e44bd497c/tool/35442e9e-65ae-485f-972f-16d737551d2c/ShowPage?sendingPage=213935&itemId=1592264&path=clear_and_push&title=5.5: Diagnosing Multicollinearity&newTopLevel=false,0
05.06_Recap_of_Module_5,https://collab.its.virginia.edu/portal/site/294dab0f-ccd3-431d-940c-ff9e44bd497c/tool/35442e9e-65ae-485f-972f-16d737551d2c/ShowPage?sendingPage=216135&itemId=1604838&path=clear_and_push&title=5.6: Recap of Module 5&newTopLevel=false,0
05.07_R_Tutorial_for_Module_5,https://collab.its.virginia.edu/portal/site/294dab0f-ccd3-431d-940c-ff9e44bd497c/tool/35442e9e-65ae-485f-972f-16d737551d2c/ShowPage?sendingPage=213936&itemId=1592265&path=clear_and_push&title=5.7: R Tutorial for Module 5&newTopLevel=false,0
05.08_Module_5_Live_Session,https://collab.its.virginia.edu/portal/site/294dab0f-ccd3-431d-940c-ff9e44bd497c/tool/35442e9e-65ae-485f-972f-16d737551d2c/ShowPage?sendingPage=213986&itemId=1592266&path=clear_and_push&title=5.8: Module 5 Live Session&newTopLevel=false,0
06.00_Categorical_Predictors_724_725,https://collab.its.virginia.edu/portal/site/294dab0f-ccd3-431d-940c-ff9e44bd497c/tool-reset/ceb62805-7147-4d59-ab4c-0c4c7397ac05,0
06.01_Introduction_to_the_Lesson,https://collab.its.virginia.edu/portal/site/294dab0f-ccd3-431d-940c-ff9e44bd497c/tool/ceb62805-7147-4d59-ab4c-0c4c7397ac05/ShowPage?sendingPage=213937&itemId=1592280&path=clear_and_push&title=6.1: Introduction to the Lesson&newTopLevel=false,0
